publishedAt,authorDisplayName,textDisplay,likeCount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T06:10:57Z,ENT,Seruu sekali kalo fans tim bola luar ngumpul begini,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T05:57:58Z,Bista Mardiat,AHAHAHAH MENDING FANS IN RONALDO CR7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T05:42:13Z,Sukat Tandika,Pak Erick Jadi wapres pun OK tapi tetap Jadi ketum pssi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T05:35:49Z,Deko sf,Pak erick untuk saat ini fokus saja jadi ketua Umum pssi.<br>Jangan jadi cawapres.<br>Kalo ada sukses di pssi bukan cuma cawapres.<br>Presidenpun anda layak,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T05:07:38Z,telusuri dulu baru di buru,Jaket bang ando beli dimana ya?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T05:01:11Z,tidak viral,Industri harus mengurangi pembakaran menggunakan batu bara ...<br>Kalo ada pabrik yg masih menggunakan batu bara 100% di pastikan cuaca di kota anda tidak akan baik2 saja,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:59:37Z,Heryawan Rhusni,Tebak skor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:45:17Z,Apriadi Arifin,Prediksi yang luarbisa argentina 0-1 Indonesia &quot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:41:20Z,isap chayank,Insyaa allah dengan semangat dan dukungan supporter indonesia tentunya kita berjuang utk minimal seri ... apalagi mereka maen dengan lapis kedua yg mungkin mentalnya tentu saja  berbeda ... insyaa allah amien ...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:38:56Z,raffa evnoza,"<a href=""https://www.youtube.com/watch?v=XzYWdbwecnc&amp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:34:40Z,Bigar Prasetyo,Pak erick selalu tenang dan santai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:30:16Z,Moh shihabul Ulum,skip penyepong messi wkwkwkwk juskiding,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:23:57Z,Mixan Efendi,Pak Erick gaperna istirahat kah?🥲,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:18:22Z,Sriyanto Kurniawan,liga 1 kuota pemain asing 5+1 sangat kebanyakan pak erick...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:17:23Z,¤chips¤,Oalah ini ceritanya kita lagi push rank ya lawan argentina😅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:16:42Z,Su Gito,Skor nya 2.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:15:33Z,Su Gito,Erik jadi Wapres Suai Brooo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:11:41Z,abdul wahid,Gilaksih sekelas ARGEN buat FMD 😅,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T04:09:53Z,Tito MNur,Semoga gandengannya sama pak prabowo 🎉🎉🎉🎉🎉,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T03:52:09Z,Yudi Triyana,syg bgt jadi mentri. kalo pimpin negara cocok .,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T03:51:00Z,Rini Susanti,PSSI lahir 2023😂 ayok pak perpanjang kontraknya minimal 3 tahun hehe,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T03:44:35Z,Handika Ardhinata,Bapak Erick Thohir idola sejak mengambil alih Inter Milan dlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T03:33:52Z,The BAZ team,Sy dukung TimNas. Tp sy hrs realistis tuk hsl pertandingan nnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
